Parameter;Type;Subtype;Calculated In;Description;Dependencies;Data type;Additional information
pstex_RAuxP6'bmp;calc;Post-control;inc_calc_controls.php;;;;
// Post-control Parameters (Fall);;;;;;;Among the extrema found for the parameter pstex _RP6bmp, a search is carried out for extrema that are counter-directional to p3 of the model under consideration. As well as for the previous group of parameters, for these extrema, the most distant preceding extrema are searched in the area from RP6 (not including here!) up to the considered extremum (not including). In this case, the extremum with the largest value of R is the extremum of Fall.  
pst_RP6fall;calc;Post-control;inc_calc_controls.php;The relative duration of the pullback after Real P6 on the way to the Bumper Level;;;"
pst_RP6fall ? the ratio of the distances 
[from the RP6 extremum bar to the fall extremum bar] 
to Timesize
This parameter is present only in models that have a significant extreme in the range RP6 and Bumper Level."
"pst_RP6""fall";calc;Post-control;inc_calc_controls.php;"The relative duration of the pullback after Real P6"" on the way to the Bumper Level";;;
pst_RAuxP6fall;calc;Post-control;inc_calc_controls.php;The relative duration of the pullback after Real AuxP6 on the way to the Bumper Level;;;
pst_RRAuxP6'fall;calc;Post-control;inc_calc_controls.php;The relative duration of the pullback after Real AuxP6' on the way to the Bumper Level;;;
pst_RP6fallsize;calc;Post-control;inc_calc_controls.php;The relative size of the pullback after Real P6 on the way to the Bumper Level;;;"pst_RP6fallsize ? the ratio of the R fall-extremum to Pricesize.
This parameter is present only in models that have a significant extreme between RP6 and Bumper Level."
"pst_RP6""fallsize";calc;Post-control;inc_calc_controls.php;"The relative size of the pullback after Real P6"" on the way to the Bumper Level";;;
pst_RAuxP6fallsize;calc;Post-control;inc_calc_controls.php;The relative size of the pullback after Real AuxP6 on the way to the Bumper Level;;;
pst_RRAuxP6'fallsize;calc;Post-control;inc_calc_controls.php;The relative size of the pullback after Real AuxP6' on the way to the Bumper Level;;;
pst_llRP6prfll;calc;Post-control;inc_calc_controls.php;The relative length of the 1st wave on the way to the Bumper Level of the P6;;;"Next, the extremum bar is used for calculation, which was previously used to calculate the final value of the R fall extremum (in the parameter from the group pst_RP6fall, pst_RP6?fall, etc.). For convenience, we denote this extremum M. 


The time distance from the real P6 bar to the extreme M bar is calculated. The resulting value is denoted A1. The value A1/ Timesize is calculated"
"pst_llRP6""prfll";calc;Post-control;inc_calc_controls.php;"The relative length of the 1st wave on the way to the Bumper Level of the P6""";;;
pst_llRAuxP6prfll;calc;Post-control;inc_calc_controls.php;The relative length of the 1st wave on the way to the Bumper Level of theAuxP6;;;
pst_llRAuxP6'prfll;calc;Post-control;inc_calc_controls.php;The relative length of the 1st wave on the way to the Bumper Level of the AuxP6';;;
pst_lvlRP6prfll;calc;Post-control;inc_calc_controls.php;Relative depth of the 1st wave on the way to the bumper level of the P6;;;"
The distance between the real P6 level and the extreme M level is calculated. We denote this value as X1, and calculate X1/Pricesize"
"pst_lvlRP6""prfll";calc;Post-control;inc_calc_controls.php;"Relative depth of the 1st wave on the way to the bumper level of the P6""";;;
pst_lvlRAuxP6prfll;calc;Post-control;inc_calc_controls.php;Relative depth of the 1st wave on the way to the bumper level of the AuxP6;;;
pst_lvlRAuxP6'prfll;calc;Post-control;inc_calc_controls.php;Relative depth of the 1st wave on the way to the bumper level of the AuxP6';;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
// Context Parameters;;;;;;;
CountPrevs;calc;Context;build_models_common.php;Count of previous models;;Int; Number of previous models
PREVdata;tec;Context;build_models_common.php;Previous trend data reference;;NoFullDataPrev, FullDataPrev;Presence/absence of data about the previous trend
P6Context;calc;Context;build_models_common.php;The ratio of the of the previous model size in pips to the size in pips of the current model with P6, in %;;%;
"P6""Context";calc;Context;build_models_common.php;"The ratio of the the previous model size in pips to the size on pips of the current model with P6"", in %";;%;
auxP6Context;calc;Context;build_models_common.php;The ratio of the previous model size in pips to the size in pips of the current auxiliary model with AuxP6, in %;;%;
auxP6'Context;calc;Context;build_models_common.php;The ratio of the previous model size in pips, to the size of the current auxiliary model in pips with AuxP6', in %;;%;
P6ContextOfP6;calc;Context;build_models_common.php;the ratio of the previous model (according to the calculated P6) to the size of the model in question (for the calculated P6);;%;
P6ContextOfAuxP6;calc;Context;build_models_common.php;the ratio of the previous model (according to the calculated P6 of auxiliary AM) to the size of the considered model (for the calculated P6);;%;
auxP6ContextOfP6;calc;Context;build_models_common.php;the ratio of the previous model (according to the calculated P6) to the size of the model in question (for the calculated P6 auxiliary AM);;%;
auxP6ContextOfAuxP6;calc;Context;build_models_common.php;the ratio of the previous model (according to the calculated P.6 auxiliary MP) to the size of the considered model (for the calculated P.6 auxiliary AM);;%;
auxP6'ContextOfP6;calc;Context;build_models_common.php;the ratio of the previous model (according to the calculated P.6 ) to the size of the considered model (for the calculated P.6' auxiliary Am);;%;
auxP6'ContextOfAuxP6;calc;Context;build_models_common.php;the ratio of the previous model (according to the calculated P.6 auxiliary MP) to the size of the model under consideration (according to the calculated P.6' auxiliary AM);;%;
;;;;;;;
// Previous Model Parameters;;;;;;;
PrevType;calc;Context;build_models_common.php;Type of Significant Preceding Model;;EM, DBM, EM/DBM, AM, AM/DBM, NA;
PrevG3;calc;Context;build_models_common.php;G3 parameter of preceding model;;BTModel,HTModel;
PrevSPc;calc;Context;build_models_common.php;SPc parameter of preceding model;;float;Preceding model's strength defined with tangent AL (i.e. built with 2')
PrevSP;calc;Context;build_models_common.php;SP parameter of preceding model;;"strongpseudoSP
undef";Preceding models strength according to pseudoSP
;;;;;;;
// Cluster Parameters;;;;;;;
Clst_I;calc;Cluster;inc_calc_controls.php;Cluster I classification;;Int;"The total number of both codirectional and counterdirectional models creating clusters for the considered model. 
More specific: number of models 1(m1) for model 2(m2) that meet the requirements of Option I on the m2 timeframe
"
Clst_II;calc;Cluster;inc_calc_controls.php;Cluster II classification;;Int;"Number of actual co-directional models that give clusters for the model under consideration. 
Number of models 1(m1) for model 2(m2) that meet the requirements of Option II on the m2 timeframe"
Clst_A;calc;Cluster;inc_calc_controls.php;Cluster 'All types' classification;;Int;The number of models for which the considered model  gives a cluster of any type 
Clst_I_E;calc;Cluster;inc_calc_controls.php;Extended Cluster I classification;;Int;The total number of both co-directional and multidirectional elder timeframes models giving clusters for the considered model
Clst_II_E;calc;Cluster;inc_calc_controls.php;Extended Cluster II classification;;Int;number of actual co-directional elder timeframes  models that give clusters for the model under consideration
Clst_A_E;calc;Cluster;inc_calc_controls.php;Extended Cluster 'All types' classification;;Int;The number of models for which the considered model  gives a cluster of any type and are elder timeframe model
"Clst_I""";calc;Cluster;inc_calc_controls.php;Alternative Cluster I classification;;Int;
"Clst_II""";calc;Cluster;inc_calc_controls.php;Alternative Cluster II classification;;Int;
"Clst_A""";calc;Cluster;inc_calc_controls.php;Alternative Cluster 'All types' classification;;Int;
"Clst_I_E""";calc;Cluster;inc_calc_controls.php;Extended Alternative Cluster I classification;;Int;
"Clst_II_E""";calc;Cluster;inc_calc_controls.php;Extended Alternative Cluster II classification;;Int;
"Clst_A_E""";calc;Cluster;inc_calc_controls.php;Extended Alternative Cluster 'All types' classification;;Int;
Clst_I_AuxP6;calc;Cluster;inc_calc_controls.php;Cluster I classification for auxiliary P6;;Int;
Clst_II_AuxP6;calc;Cluster;inc_calc_controls.php;Cluster II classification for auxiliary P6;;Int;
Clst_A_AuxP6;calc;Cluster;inc_calc_controls.php;Cluster 'All types' classification for auxiliary P6;;Int;
Clst_I_E_AuxP6;calc;Cluster;inc_calc_controls.php;Extended Cluster I classification for auxiliary P6;;Int;
Clst_II_E_AuxP6;calc;Cluster;inc_calc_controls.php;Extended Cluster II classification for auxiliary P6;;Int;
Clst_A_E_AuxP6;calc;Cluster;inc_calc_controls.php;Extended Cluster 'All types' classification for auxiliary P6;;Int;
Clst_I_AuxP6';calc;Cluster;inc_calc_controls.php;Cluster I classification for auxiliary P6';;Int;
Clst_II_AuxP6';calc;Cluster;inc_calc_controls.php;Cluster II classification for auxiliary P6';;Int;
Clst_A_AuxP6';calc;Cluster;inc_calc_controls.php;Cluster 'All types' classification for auxiliary P6';;Int;
Clst_I_E_AuxP6';calc;Cluster;inc_calc_controls.php;Extended Cluster I classification for auxiliary P6';;Int;
Clst_II_E_AuxP6';calc;Cluster;inc_calc_controls.php;Extended Cluster II classification for auxiliary P6';;Int;
Clst_A_E_AuxP6';calc;Cluster;inc_calc_controls.php;Extended Cluster 'All types' classification for auxiliary P6';;Int;
;;;;;;;
// Context Cluster Parameters;;;;;;;
ContextClstI;calc;Context;inc_calc_controls.php;Context for Cluster I classification;;Int;"All models that are model 1 for the considered model 2 according to the ClstI parameter are taken. 
Among these models the largest in size (in pips) is selected and divided by the size of the considered model 2., and the resulting value in % is entered in the new ContextClstI parameter.
"
ContextClstII;calc;Context;inc_calc_controls.php;Context for Cluster II classification;;Int;
ContextClstI_E;calc;Context;inc_calc_controls.php;Context for Extended Cluster I classification;;Int;
ContextClstII_E;calc;Context;inc_calc_controls.php;Context for Extended Cluster II classification;;Int;
"ContextClstI""";calc;Context;inc_calc_controls.php;Context for Alternative Cluster I classification;;Int;
"ContextClstII""";calc;Context;inc_calc_controls.php;Context for Alternative Cluster II classification;;Int;
"ContextClstI_E""";calc;Context;inc_calc_controls.php;Context for Extended Alternative Cluster I classification;;Int;
"ContextClstII_E""";calc;Context;inc_calc_controls.php;Context for Extended Alternative Cluster II classification;;Int;
ContextClstI_AuxP6;calc;Context;inc_calc_controls.php;Context for Cluster I classification for auxiliary P6;;Int;
ContextClstII_AuxP6;calc;Context;inc_calc_controls.php;Context for Cluster II classification for auxiliary P6;;Int;
ContextClstI_E_AuxP6;calc;Context;inc_calc_controls.php;Context for Extended Cluster I classification for auxiliary P6;;Int;
ContextClstII_E_AuxP6;calc;Context;inc_calc_controls.php;Context for Extended Cluster II classification for auxiliary P6;;Int;
ContextClstI_AuxP6';calc;Context;inc_calc_controls.php;Context for Cluster I classification for auxiliary P6';;Int;
ContextClstII_AuxP6';calc;Context;inc_calc_controls.php;Context for Cluster II classification for auxiliary P6';;Int;
ContextClstI_E_AuxP6';calc;Context;inc_calc_controls.php;Context for Extended Cluster I classification for auxiliary P6';;Int;
ContextClstII_E_AuxP6';calc;Context;inc_calc_controls.php;Context for Extended Cluster II classification for auxiliary P6';;Int;
